Column D,Updated 2004-2005 with data from www.census.gov,,,,,,,,,,
Column E,Updated from 2000-2005 with figures as of March 2006 from the BLS/LAUS webcite,,,,,,,,,,
Column F,Updated from 2000-2005 with figures as of March 2006 from the BLS/LAUS webcite,,,,,,,,,,
Column G,Updated from 2000-2005 with figures as of March 2006 from the BLS/LAUS webcite,,,,,,,,,,
Column H,Updated with 2001-2003 averages as of March 2006 from ERS website,,,,,,,,,,
Column I,NO UPDATES available as of March 2006 webcite http://www.bea.gov/bea/regional/gsp/,,,,,,,,,,
Column J,Updated 2003 numbers using 2002-2004 data from http://www.census.gov/hhes/www/hlthins/liuc04.html,,,,,,,,,,
Column K,Updated 2003 numbers using 2002-2004 data from http://www.census.gov/hhes/www/hlthins/liuc04.html,,,,,,,,,,
Column L,Updated 2004-2005 with data from www.bea.gov,,,,,,,,,,
Column M,Updated 2002-2004 with data from http://www.bea.gov/bea/regional/spi/drill.cfm,,,,,,,,,,
Column N,Updated 2004 as of May 2006 with Fiscal Year Data from http://www.acf.hhs.gov//programs/ofa/caseload/caseloadindex.htm,,,,,,,,,,
Column O,Updated 2004 as of May 2006 with Fiscal Year Data from http://www.acf.hhs.gov//programs/ofa/caseload/caseloadindex.htm,,,,,,,,,,
Column P,Updated 2005 as of March 2006 with data from http://www.fns.usda.gov/pd/fspmain.htm,,,,,,,,,,
Column Q,Updated 2005 as of March 2006 with data from http://www.fns.usda.gov/pd/fspmain.htm,,,,,,,,,,
Column R,,,,,,,,,,,
Column S,,,,,,,,,,,
Column T,,,,,,,,,,,
Column U,Updated 2004-2005 with data from www.usda.gov and 2004 Alaska and Hawaii from http://www.fns.usda.gov/oane/MENU/Published/FSP/FILES/Participation/2004Characteristics.pdf and 2005 Alaska from http://www.hss.state.ak.us/dpa/programs/fstamps/,,,,,,,,,,
Column V,Updated 2004-2005 with data from www.usda.gov and 2004 Alaska and Hawaii from http://www.fns.usda.gov/oane/MENU/Published/FSP/FILES/Participation/2004Characteristics.pdf and 2005 Alaska from http://www.hss.state.ak.us/dpa/programs/fstamps/,,,,,,,,,,
Column W,Updated 2004-2005 with data from www.usda.gov and 2004 Alaska and Hawaii from http://www.fns.usda.gov/oane/MENU/Published/FSP/FILES/Participation/2004Characteristics.pdf and 2005 Alaska from http://www.hss.state.ak.us/dpa/programs/fstamps/,,,,,,,,,,
Column X,Updated 2004-2005 with data from www.usda.gov and 2004 Alaska and Hawaii from http://www.fns.usda.gov/oane/MENU/Published/FSP/FILES/Participation/2004Characteristics.pdf and 2005 Alaska from http://www.hss.state.ak.us/dpa/programs/fstamps/,,,,,,,,,,
Column Y,,,,,,,,,,,
Column Z,,,,,,,,,,,
Column AA,,,,,,,,,,,
Column AB,NO UPDATES available as of March 2006 webcite http://www.ssa.gov/policy/docs/factsheets/state_stats/index.html,,,,,,,,,,
Column AC,NO UPDATES available as of March 2006 webcite http://www.ssa.gov/policy/docs/factsheets/state_stats/index.html,,,,,,,,,,
Column AD,,,,,,,,,,,
Column AE,Updated 2004 by copying the formula from 2003,,,,,,,,,,
Column AF,NO UPDATES available as of March 2006 webcite http://www.census.gov/hhes/www/saipe/saipe.html,,,,,,,,,,
Column AG,NO UPDATES available as of March 2006 webcite http://www.census.gov/hhes/www/saipe/saipe.html,,,,,,,,,,
Column AH,Updated 2004-2005 with data from the Book of States and from www.nga.org,,,,,,,,,,
Column AI,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AJ,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AK,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AL,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AM,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AN,Updated 2004 by copying 2003 data and updated 2005 with data from http://www.census.gov/prod/www/statistical-abstract.html,,,,,,,,,,
Column AO,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",,,,,,,,,,
Column AP,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11730,,,,,,,,,
Column AQ,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11731,,,,,,,,,
Column AR,"Updated 2004 and 2005 with info from http://www.irs.gov/individuals/article/0,,id=150513,00.html",,,,,,,,,,
Column AS,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11731,,,,,,,,,
Column AT,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11731,,,,,,,,,
Column AU,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",,,,,,,,,,
Column AV,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11731,,,,,,,,,
Column AW,"Updated 2004 with info from http://www.taxreformpanel.gov/meetings/docs/hoynes.ppt#293,7,2004 EITC Parameters for Single Filers",Updated 2005 with data from http://www.nber.org/papers/w11731,,,,,,,,,
Column AX,,,,,,,,,,,
Column AY,,,,,,,,,,,
Column AZ,,,,,,,,,,,
Column BA,,,,,,,,,,,
Column BB,,,,,,,,,,,
Column BC,Updated with info from http://www.dol.gov/esa/minwage/america.htm,,,,,,,,,,
Column BD,Updated 2000-2005 with FY data from http://www.acf.hhs.gov//programs/ofa/caseload/caseloadindex.htm#2002,,,,,,,,,,
Column BE,Updated 2003-2004 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2004/index.html,,,,,,,,,,
Column BF,Updated 2003-2004 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2004/index.html,,,,,,,,,,
Column BG,Updated 2003-2004 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2004/index.html,,,,,,,,,,
Column BH,Updated 2003-2004 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2004/index.html,,,,,,,,,,
Column BI,Updated 2003 with data from http://www.cms.hhs.gov/MedicaidDataSourcesGenInfo/02_MSISData.asp#TopOfPage ,,,,,,,,,,
Column BJ,Updated 2004-2005 with data from http://www.fns.usda.gov/pd/wifypart.htm (2005 preliminary data only),,,,,,,,,,
Column BK,Updated 2004-2005 with data from http://www.fns.usda.gov/pd/slfypart.htm (2005 preliminary data only),,,,,,,,,,
Column BL,Updated 2004-2005 with data from  (2005 preliminary data only),,,,,,,,,,
Column BM,Updated 2004-2005 with data from http://www.fns.usda.gov/pd/slfypart.htm (2005 preliminary data only),,,,,,,,,,
Column BN,"Source: U.S. Department of Agriculture, Food and Nutrition Service (2005 preliminary data).  ",,,,,,,,,,
Column BO,"Source: U.S. Department of Agriculture, Food and Nutrition Service (2005 preliminary data).  ",,,,,,,,,,
Column BP,Updated 2004-2005 with data from http://www.fns.usda.gov/pd/sbfypart.htm (2005 preliminary data only),,,,,,,,,,