"","X","name","GEOID","year.x","parent.location","population","poverty.rate","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","renter.occupied.households","eviction.filings","evictions","eviction.rate","eviction.filing.rate","imputed","subbed","Composite.Bottom.Order","Composite.Index","Composite.Score","Composite.Top.Order","Civil.Legal.Aid","Disabilities","LEP","Limited.English","Median.Income.2012","Number.of.Attorneys.Per.10.000.People","Number.of.Civil.Legal.Aid.Attorneys.Per.10.000.People.In.Poverty","Number.of.Records","Percent.of.People.with.Disabilities","Population","Region","Self.Represented","State.Abb","Weight","year.y","median.household.income.1000s","LCivil.Legal.Aid","State","Year","State Spending","Local Spending","State and Local Spending","Gross State Product","Real State Growth %","Population (million)"
"1",1,"Alabama",1,2014,"USA",4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,599224,22778,10104,1.69,3.8,0,0,17,44.06,176.23,35,6.12,78.14,25.5,58.18,43.464,30.16,0.62,1,16.5,4687363,"South",33.79,"AL",1,2014,43.623,-0.478035800943,"Alabama",2014,208.5,100.9,309.4,40165.8,-0.1,4.8
"2",44,"Alaska",2,2014,"USA",733375,6.98,36.62,1146,72515,250000,28.2,62.38,3.24,6.52,13.42,5.78,1.17,7.36,0.13,101701,1981,NA,NA,1.95,0,0,20,46.28,185.11,32,24.09,68.77,9.9,38.19,63.648,34.21,2.44,1,10.6,706860,"West",54.06,"AK",1,2014,72.515,0.89199803930511,"Alaska",2014,1218.4,260.4,1478.8,79085.6,-3.3,0.7
"3",86,"Arizona",4,2014,"USA",6641928,13.29,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,203620,7808,6375,3.13,3.83,0,0,27,52.72,210.89,25,5.73,68.78,18.8,48.55,47.044,22.84,0.58,1,11.6,6336449,"West",87.83,"AZ",0,2014,50.255,-0.544727175441672,"Arizona",2014,299.4,83.6,383,41868.7,1.8,6.7
"4",132,"Arkansas",5,2014,"USA",2958208,14.25,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,407733,1883,NA,NA,0.46,0,0,11,39.81,159.24,41,7.9,62.51,22.2,68.55,39.018,20.75,0.8,1,16.6,2856663,"South",20.28,"AR",1,2014,41.371,-0.22314355131421,"Arkansas",2014,360.3,61.6,421.8,39774,1.4,3
"5",175,"California",6,2014,"USA",38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4915846,65454,55626,1.13,1.33,0,0,21,47.7,190.81,31,9.48,53.15,25,37.64,57.02,43.26,0.96,1,10.1,36941931,"West",90.54,"CA",0,2014,61.818,-0.0408219945202552,"California",2014,504.8,614.9,1119.7,60704.4,3.7,38.7
"6",263,"Colorado",8,2014,"USA",5278906,8.49,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,305473,12708,6728,2.2,4.16,0,0,44,65.56,262.25,8,5.53,100,19.9,94.55,57.255,41.52,0.56,1,10.2,5002128,"West",62.17,"CO",1,2014,60.629,-0.579818495252942,"Colorado",2014,284.7,286.7,571.4,57149.2,4.7,5.3
"7",306,"Connecticut",9,2014,"USA",3593222,7.55,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,370379,15349,11655,3.15,4.14,0,0,50,73.37,293.48,2,18.26,100,19.4,98.19,64.247,60.03,1.85,1,10.7,3471802,"Northeast",77.03,"CT",1,2014,70.331,0.615185639090233,"Connecticut",2014,686.5,280,966.5,67992,-0.6,3.6
"8",351,"Delaware",10,2014,"USA",926454,8.19,28.83,1018,60509,231500,29.9,63.89,21.05,8.71,0.27,3.6,0.02,2.22,0.23,103380,18279,5613,5.43,17.68,0,0,46,66.67,266.67,6,14.71,62.51,17.9,98.91,48.972,32.33,1.49,1,12.1,882353,"South",90.54,"DE",1,2014,60.509,0.398776119957368,"Delaware",2014,602.1,76.8,679,70483.1,5.3,0.9
"9",394,"District of Columbia",11,2014,"USA",647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,168298,NA,NA,NA,NA,0,0,51,80.94,323.75,1,87.07,68.77,11.3,97.64,65.246,877.05,8.82,1,10.9,584583,"South",70.27,"DC",5,2014,70.848,2.1770218700187,"District of Columbia",2014,NA,2350.1,2350.1,176013.2,1.5,0.7
"10",446,"Florida",12,2014,"USA",19645772,12.04,34.73,1002,47507,159000,34.4,56.06,15.45,23.72,0.21,2.54,0.05,1.7,0.26,2581408,120818,64121,2.48,4.68,0,0,7,38.09,152.37,45,8.59,37.52,23.8,45.45,46.071,35.68,0.87,1,12.9,18652057,"South",60.81,"FL",10,2014,47.507,-0.139262067333508,"Florida",2014,201.4,164.3,365.7,41831,2.6,19.9
"11",509,"Georgia",13,2014,"USA",10006693,14.16,36.67,879,49620,148100,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,1117307,205725,58957,5.28,18.41,0,0,9,38.81,155.22,43,5.53,15.63,23.5,80,48.121,29.86,0.56,1,12,9550271,"South",54.06,"GA",0,2014,49.62,-0.579818495252942,"Georgia",2014,235.8,126,361.8,47355.4,3,10.1
"12",556,"Hawaii",15,2014,"USA",1406299,7.73,43.1,1438,69515,515300,33.4,22.89,1.9,9.9,0.15,36.78,9.06,19.2,0.11,164633,854,800,0.49,0.52,0,0,48,69.88,279.5,4,26.26,100,20.2,60,56.263,30.68,2.66,1,10.2,1338543,"West",93.24,"HI",1,2014,69.515,0.978326122793608,"Hawaii",2014,547.8,88.3,636.1,54196.6,0.6,1.4
"13",601,"Idaho",16,2014,"USA",1616547,10.88,31.13,743,47583,162900,29.4,83.05,0.58,11.83,1.07,1.27,0.11,2.01,0.07,185016,2325,1334,0.72,1.26,0,0,12,40.11,160.44,40,7.01,31.26,22,60,47.922,23.4,0.71,1,12.7,1550082,"West",62.17,"ID",5,2014,47.583,-0.342490308946776,"Idaho",2014,334.2,41.1,375.2,38807.9,2.4,1.6
"14",643,"Illinois",17,2014,"USA",12873761,10.48,33.61,907,57574,173800,30.3,62.47,14.13,16.49,0.11,4.98,0.02,1.67,0.14,1627897,62640,30472,1.87,3.85,0,0,3,34.47,137.89,49,10.07,68.77,22.1,3.64,51.738,47.8,1.02,1,10.5,12566914,"Midwest",55.41,"IL",5,2014,57.574,0.0198026272961797,"Illinois",2014,558.4,182.8,741.3,58035.8,1.5,12.9
"15",691,"Indiana",18,2014,"USA",6568645,11.11,31,745,49255,124200,29.8,80.51,9.05,6.41,0.18,1.84,0.03,1.85,0.13,752501,62479,31883,4.24,8.3,0,0,5,36.18,144.71,47,9.08,0,18.9,54.55,46.158,24.55,0.92,1,13.1,6318942,"Midwest",81.08,"IN",1,2014,49.255,-0.083381608939051,"Indiana",2014,391.6,70.5,462.1,49206.1,2,6.6
"16",739,"Iowa",19,2014,"USA",3093526,8.06,28.52,697,53183,129200,27.5,87.4,3.09,5.44,0.27,2.02,0.06,1.65,0.08,354865,12835,6834,1.93,3.62,0,0,28,54.04,216.15,24,11.75,68.78,21.4,54.54,53.442,24.66,1.19,1,11.4,2963602,"Midwest",81.08,"IA",1,2014,53.183,0.173953307123438,"Iowa",2014,390.4,72,462.4,54690,3.1,3.1
"17",783,"Kansas",20,2014,"USA",2892987,9.09,33.31,757,52205,132000,27.9,77.04,5.67,11.17,0.7,2.59,0.06,2.7,0.07,367774,13344,9788,2.66,3.63,0,0,19,44.7,178.78,33,6.81,84.4,21.7,20,50.003,29.27,0.69,1,12.3,2786855,"Midwest",67.57,"KS",1,2014,52.205,-0.371063681390832,"Kansas",2014,295.3,75.5,370.7,50899.3,1.4,2.9
"18",825,"Kentucky",21,2014,"USA",4397353,14.39,32.76,675,43740,123200,29.3,85.55,7.78,3.26,0.17,1.25,0.05,1.82,0.1,465319,25128,13857,2.98,5.4,0,0,2,33.36,133.44,50,8.09,46.89,20.7,58.18,41.086,30.42,0.82,1,17.1,4238283,"South",20.28,"KY",5,2014,43.74,-0.198450938723838,"Kentucky",2014,431.6,49.7,481.4,42115.7,0.4,4.4
"19",871,"Louisiana",22,2014,"USA",4625253,15.19,34.22,788,45047,144100,32,59.48,31.88,4.72,0.53,1.67,0.04,1.51,0.17,445023,27015,13922,3.13,6.07,0,0,13,40.21,160.85,39,13.52,68.77,16.4,40.72,39.085,41.23,1.37,1,15.1,4445400,"South",37.84,"LA",10,2014,45.047,0.314810739840034,"Louisiana",2014,301,153.4,454.4,52078.4,1.7,4.6
"20",918,"Maine",23,2014,"USA",1329100,9.34,28.79,777,49331,173800,30.9,93.88,1.09,1.46,0.57,1.08,0.01,1.85,0.05,174409,4136,3905,2.24,2.37,0,0,30,54.84,219.35,22,16.98,100,10.2,61.82,49.158,29.92,1.72,1,15.5,1291650,"Northeast",40.55,"ME",10,2014,49.331,0.542324290825362,"Maine",2014,653.1,134.8,787.9,41632.2,1.6,1.3
"21",963,"Maryland",24,2014,"USA",5930538,6.97,33.18,1230,74551,286900,30.8,53.02,29.06,9,0.2,5.99,0.04,2.45,0.25,293997,145716,2943,1,49.56,0,0,32,56.44,225.76,20,30.21,53.14,17.2,66.73,71.836,39.53,3.06,1,10.3,5685412,"South",75.68,"MD",5,2014,74.551,1.11841491596429,"Maryland",2014,639.7,213.6,853.3,58696.1,1.1,6
"22",1021,"Massachusetts",25,2014,"USA",6705586,8.19,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,1008781,36146,18289,1.81,3.58,0,0,39,61.87,247.49,13,23.49,68.77,20.1,74.55,63.656,66.72,2.38,1,11.4,6367148,"Northeast",80.68,"MA",1,2014,68.563,0.867100487683383,"Massachusetts",2014,817.2,243.4,1060.6,67937.8,1.7,6.8
"23",1078,"Michigan",26,2014,"USA",9900571,11.93,28.96,783,49576,122400,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1066682,155718,58358,5.47,14.6,0,0,24,50.42,201.68,28,6.81,84.4,16.1,61.82,50.015,34.89,0.69,1,14,9656260,"Midwest",48.65,"MI",10,2014,49.576,-0.371063681390832,"Michigan",2014,450.3,123.4,573.7,44904,1.4,9.9
"24",1127,"Minnesota",27,2014,"USA",5419171,7.29,28.34,848,61492,186200,29.2,81.71,5.42,5,0.96,4.42,0.03,2.35,0.12,573652,14651,6620,1.15,2.55,0,0,49,71.06,284.25,3,17.77,100,19,98.91,61.795,45.52,1.8,1,9.9,5222556,"Midwest",67.57,"MN",1,2014,61.492,0.587786664902119,"Minnesota",2014,437.1,389.3,826.4,58131.9,2.6,5.5
"25",1182,"Mississippi",28,2014,"USA",2988081,17.56,31.61,717,39665,103100,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,324009,26638,14116,4.36,8.22,0,0,10,39.64,158.54,42,5.33,68.78,27.4,70.91,36.641,24.11,0.54,1,16.3,2884215,"South",13.52,"MS",10,2014,39.665,-0.616186139423817,"Mississippi",2014,279,89.7,368.6,34894.2,-1.2,3
"26",1227,"Missouri",29,2014,"USA",6045448,11.13,32.76,746,48173,138400,29.4,80.22,11.44,3.85,0.37,1.74,0.1,2.14,0.13,764667,37369,25034,3.27,4.89,0,0,16,43.37,173.47,36,8.69,31.26,17.2,79.46,49.764,41.63,0.88,1,14.1,5831530,"Midwest",54.06,"MO",1,2014,48.173,-0.127833371509885,"Missouri",2014,246.1,90.9,337.1,46555.6,0.2,6.1
"27",1272,"Montana",30,2014,"USA",1014699,9.91,32.81,711,47169,193500,28.6,86.98,0.44,3.31,6.26,0.68,0.08,2.22,0.03,138316,2159,1239,0.9,1.56,0,0,31,55.55,222.21,21,7.11,81.27,3.1,64.91,45.088,30.88,0.72,1,13.1,974025,"West",68.92,"MT",10,2014,47.169,-0.328504066972036,"Montana",2014,469.4,112.1,581.5,44177.5,2.8,1
"28",1314,"Nebraska",31,2014,"USA",1869365,8.75,33.76,726,52997,133200,27,80.76,4.59,9.96,0.71,2.02,0.06,1.82,0.09,241878,8055,5421,2.24,3.33,0,0,38,60.65,242.58,14,11.15,84.4,26.5,79.46,52.196,27.85,1.13,1,10.3,1789275,"Midwest",67.57,"NE",10,2014,52.997,0.122217632724249,"Nebraska",2014,533.6,144.1,677.7,59591.6,3.7,1.9
"29",1356,"Nevada",32,2014,"USA",2798636,11.39,44.94,973,51847,173700,30.1,52,8.07,27.53,0.88,7.55,0.61,3.21,0.16,383553,32490,17235,4.49,8.47,0,0,22,48.71,194.84,30,9.67,78.14,20.9,39.46,47.333,25.52,0.98,1,11.4,2684536,"West",67.57,"NV",1,2014,51.847,-0.0202027073175195,"Nevada",2014,360.7,218,578.7,46845.2,1.3,2.8
"30",1400,"New Hampshire",33,2014,"USA",1324201,5.62,29.04,1000,66779,237300,29.5,91.4,1.17,3.18,0.14,2.35,0.02,1.61,0.12,67740,1536,1471,2.17,2.27,0,0,15,42.82,171.27,37,8.39,84.4,10.7,10.91,67.819,26.96,0.85,1,11.4,1279118,"Northeast",67.57,"NH",5,2014,66.779,-0.162518929497775,"New Hampshire",2014,441.1,242.4,683.6,53511.8,1.7,1.3
"31",1443,"New Jersey",34,2014,"USA",8904413,8.16,35.53,1192,72093,315900,32.1,57.2,12.72,18.96,0.11,8.98,0.02,1.57,0.44,1187648,161078,13059,1.1,13.56,0,0,25,50.53,202.13,27,12.34,62.51,21.8,86.73,66.692,47.41,1.25,1,10.1,8646606,"Northeast",40.55,"NJ",1,2014,72.093,0.22314355131421,"New Jersey",2014,649.5,213.9,863.4,60667.4,0.1,8.9
"32",1492,"New Mexico",35,2014,"USA",2084117,15.94,31.94,777,44963,160300,30.7,39.2,1.83,47.36,8.51,1.31,0.04,1.58,0.18,161213,11719,6114,3.79,7.27,0,0,35,58.81,235.24,17,8.79,62.51,13.7,96.37,43.424,26.99,0.89,1,13.1,2042530,"West",67.57,"NM",1,2014,44.963,-0.116533816255952,"New Mexico",2014,338.5,69.6,408.1,45462.1,2.9,2.1
"33",1536,"New York",36,2014,"USA",19673174,11.98,46.37,1132,59269,283400,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1278217,39272,10161,0.79,3.07,0,0,47,67.43,269.71,5,34.16,84.4,23.8,97.09,47.68,86.42,3.46,1,10.9,18954044,"Northeast",54.06,"NY",0,2014,59.269,1.24126858906963,"New York",2014,266.4,781.6,1048,70350.9,1.8,19.8
"34",1623,"North Carolina",37,2014,"USA",9845333,12.79,34.87,797,46868,154900,30.3,64.24,21.17,8.84,1.1,2.46,0.05,1.94,0.2,1294790,156090,60365,4.66,12.06,0,0,29,54.42,217.67,23,8.29,84.4,25,70.92,41.553,22.62,0.84,1,13.3,9406091,"South",54.06,"NC",5,2014,46.868,-0.174353387144778,"North Carolina",2014,168,285.4,453.4,47729,1.9,9.9
"35",1670,"North Dakota",38,2014,"USA",721640,7.23,35.86,709,57181,153800,24.9,87.05,1.6,2.85,5.2,1.22,0.04,2,0.05,113854,1054,NA,NA,0.93,0,0,40,63.1,252.39,12,8.49,78.14,10,98.19,55.766,23.41,0.86,1,10,660473,"Midwest",67.57,"ND",1,2014,57.181,-0.150822889734584,"North Dakota",2014,495.9,180.9,676.8,80723.4,7.3,0.7
"36",1712,"Ohio",39,2014,"USA",11575977,11.54,33.69,730,49429,129900,29.5,80.26,12.04,3.38,0.15,1.85,0.02,2.18,0.12,1605920,97706,54519,3.39,6.08,0,0,26,51.01,204.03,26,8.98,78.14,14.3,76.37,44.375,33.6,0.91,1,13.5,11234071,"Midwest",40.54,"OH",0,2014,49.429,-0.0943106794712413,"Ohio",2014,399.5,351.1,750.6,51017.8,2.7,11.6
"37",1760,"Oklahoma",40,2014,"USA",3849733,12.43,33.94,727,46879,117900,28.3,67.31,7.12,9.65,6.95,1.91,0.12,6.87,0.08,500991,39653,19399,3.87,7.91,0,0,1,23.66,94.65,51,7.21,46.89,23.9,0,48.407,35.28,0.73,1,15.7,3678924,"South",40.55,"OK",1,2014,46.879,-0.3147107448397,"Oklahoma",2014,391.6,90.1,481.7,50778.4,4.6,3.9
"38",1803,"Oregon",41,2014,"USA",3939233,11.19,38.72,907,51243,237300,32.1,77.25,1.75,12.33,0.92,3.92,0.36,3.32,0.14,616029,18082,5947,0.97,2.94,0,0,41,63.31,253.23,11,18.95,84.4,23.2,95.82,51.775,32.35,1.92,1,13.5,3794213,"West",54.06,"OR",1,2014,51.243,0.65232518603969,"Oregon",2014,610.8,157.2,767.9,51336.3,1.6,4
"39",1849,"Pennsylvania",42,2014,"USA",12779559,9.29,30.79,840,53599,166000,30.3,78.09,10.54,6.38,0.11,3.05,0.02,1.65,0.15,1612418,118181,38181,2.37,7.33,0,0,8,38.5,154,44,13.82,53.15,17.7,60,51.904,39.7,1.4,1,13.4,12328566,"Northeast",27.03,"PA",10,2014,53.599,0.336472236621213,"Pennsylvania",2014,456.4,358.1,814.5,53539.1,1.9,12.8
"40",1911,"Rhode Island",44,2014,"USA",1053661,10.11,39.87,925,56852,238000,30.6,74.53,5.34,13.65,0.37,3.19,0.03,2.19,0.7,128427,5110,3446,2.68,3.98,0,0,23,49.2,196.78,29,13.13,84.4,20.2,65.46,56.065,40.2,1.33,1,12,1009941,"Northeast",33.79,"RI",1,2014,56.852,0.285178942233662,"Rhode Island",2014,682.4,182.8,865.2,50934.8,0.8,1.1
"41",1954,"South Carolina",45,2014,"USA",4777576,13.49,31.41,790,45483,139900,31.1,63.86,27.3,5.32,0.29,1.39,0.05,1.68,0.11,588002,135173,20322,3.46,22.99,0,0,6,37.15,148.6,46,5.03,62.51,21.2,47.27,44.401,21.01,0.51,1,13.8,4538298,"South",33.79,"SC",1,2014,45.483,-0.673344553263766,"South Carolina",2014,235.1,71.3,306.5,39622.3,3,4.8
"42",1998,"South Dakota",46,2014,"USA",843190,9.1,31.93,655,50957,140500,26,83.22,1.52,3.31,8.3,1.2,0.04,2.34,0.08,105578,441,NA,NA,0.42,0,0,4,35.32,141.29,48,5.92,78.14,17.4,1.82,49.415,23.46,0.6,1,11.8,794872,"Midwest",55.41,"SD",0,2014,50.957,-0.510825623765991,"South Dakota",2014,476.2,76.7,552.9,53528.4,0.7,0.8
"43",2041,"Tennessee",47,2014,"USA",6499615,13.23,33.23,764,45219,142100,30.3,74.73,16.67,4.92,0.22,1.56,0.05,1.74,0.11,651579,49135,18049,2.77,7.54,0,0,42,63.99,255.96,10,5.53,100,21.4,96.37,42.995,27.13,0.56,1,15.2,6246380,"South",54.06,"TN",5,2014,45.219,-0.579818495252942,"Tennessee",2014,360.1,109.2,469.3,45697.9,1.6,6.5
"44",2090,"Texas",48,2014,"USA",26538614,13.45,37.77,882,53207,136000,29.3,43.84,11.57,38.42,0.25,4.19,0.07,1.53,0.13,3244589,210303,90781,2.8,6.48,0,0,36,59.33,237.33,16,4.24,93.77,23.7,63.64,51.926,32.17,0.43,1,11.5,25071125,"South",75.68,"TX",1,2014,53.207,-0.843970070294529,"Texas",2014,268.4,83.5,351.9,59883.7,3.7,27
"45",2134,"Utah",49,2014,"USA",2903379,9.15,30.53,887,60727,215900,29,79.5,1.01,13.43,0.95,2.17,0.88,1.91,0.15,287358,7088,3567,1.24,2.47,0,0,34,58.36,233.42,18,5.23,84.4,18.3,69.46,58.341,26.37,0.53,1,8.8,2771344,"West",74.33,"UT",1,2014,60.727,-0.63487827243597,"Utah",2014,345.4,125.7,471.1,47810.7,3.3,2.9
"46",2179,"Vermont",50,2014,"USA",626604,7.34,29,895,55176,217500,30.9,93.61,1.07,1.71,0.3,1.39,0.03,1.8,0.1,41295,60,57,0.14,0.15,0,0,18,44.29,177.17,34,20.43,50.01,8.5,66.18,55.582,37.76,2.07,1,13.1,601236,"Northeast",40.55,"VT",1,2014,55.176,0.727548607277278,"Vermont",2014,741.1,96.8,837.9,46926.1,0.3,0.6
"47",2222,"Virginia",51,2014,"USA",8256630,8.22,33.82,1116,65015,245000,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,917828,147094,51101,5.57,16.03,0,0,37,59.57,238.29,15,12.44,68.77,17.1,94.91,64.632,30.67,1.26,1,10.9,7854282,"South",62.17,"VA",1,2014,65.015,0.231111720963387,"Virginia",2014,290.1,271.8,561.9,55197,0.1,8.3
"48",2274,"Washington",53,2014,"USA",6985464,8.85,37.5,1014,61062,259500,30,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,830379,14352,6671,0.8,1.73,0,0,45,65.64,262.55,7,13.43,84.4,21.6,83.64,62.187,35.5,1.36,1,12.4,6687073,"West",81.08,"WA",1,2014,61.062,0.307484699747961,"Washington",2014,456.6,183,639.7,60324.9,2.8,7
"49",2323,"West Virginia",54,2014,"USA",1851420,13.07,27.48,643,41751,103800,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,220832,9296,8278,3.75,4.21,0,0,33,57.15,228.58,19,11.75,68.77,13.4,94,43.553,26.93,1.19,1,18.8,1802655,"South",54.06,"WV",1,2014,41.751,0.173953307123438,"West Virginia",2014,399.5,65.1,464.6,40052.6,0.9,1.8
"50",2365,"Wisconsin",55,2014,"USA",5742117,8.63,32.7,776,53357,165800,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,767896,29320,16166,2.11,3.82,0,0,43,65.15,260.6,9,8.29,84.4,18.9,97.64,53.079,27.66,0.84,1,11.4,5554349,"Midwest",70.27,"WI",1,2014,53.357,-0.174353387144778,"Wisconsin",2014,407.8,384.9,792.7,50578.2,1.4,5.8
"51",2410,"Wyoming",56,2014,"USA",579679,7.69,30.94,789,58840,194800,25.6,84.47,1.03,9.61,1.9,0.89,0.07,2.01,0.02,40840,94,94,0.23,0.23,0,0,14,42.5,169.98,38,11.94,31.25,13.2,72.73,57.512,30.09,1.21,1,10.9,554314,"West",54.06,"WY",1,2014,58.84,0.19062035960865,"Wyoming",2014,473,55.6,528.6,71711.9,1.2,0.6
"52",11,"Alabama",1,2016,"USA",4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,616428,24294,11213,1.82,3.94,0,0,45,28.78169748,115.1267899,8,2.493727699,69.44444444,25.5,11.23595506,42278,30.16882375,0.24937277,1,16.3,4849377,"South",31.95266272,"AL",1,2016,43.623,-1.38880643373388,"Alabama",2016,244.9,106.9,351.8,42147.8,1.3,4.9
"53",239,"Alaska",2,2016,"USA",733375,6.98,36.62,1146,72515,250000,28.2,62.38,3.24,6.52,13.42,5.78,1.17,7.36,0.13,104905,2064,NA,NA,1.97,0,0,34,34.34751631,137.3900652,19,11.34782143,56.94444444,9.9,24.71910112,67629,33.33640998,1.134782143,1,11.2,736732,"West",44.37869823,"AK",1,2016,72.515,0.126440688016272,"Alaska",2016,1111.3,280.7,1392,68390.4,-5,0.7
